word,pinyin,meaning,example,example-meaning,example-pinyin
您,nín,bạn (kính trọng),您好！,Chào bạn!,nǐn hǎo!
它,tā,"nó (vật, con vật)",猫喜欢玩它的玩具。,Con mèo thích chơi đồ chơi của nó.,māo xǐhuān wán tā de wánjù.
大家,dàjiā,mọi người,大家都来了。,Mọi người đều đã đến rồi.,dàjiā dōu lái le.
每,měi,mỗi,每天我都会学习汉语。,Mỗi ngày tôi đều học tiếng Trung.,měi tiān wǒ dōu huì xuéxí Hànyǔ.
为什么,wèishénme,tại sao,为什么你这么开心？,Tại sao bạn vui vậy?,wèishénme nǐ zhème kāixīn?
零,líng,số 0,气温是零度。,Nhiệt độ là 0 độ C.,qìwēn shì líng dù.
两,liǎng,hai (số lượng),我有两本书。,Tôi có hai cuốn sách.,wǒ yǒu liǎng běn shū.
百,bǎi,trăm,这本书有百页。,Cuốn sách này có trăm trang.,zhè běn shū yǒu bǎi yè.
千,qiān,nghìn,一千块钱。,Một nghìn đồng.,yī qiān kuài qián.
第一,dìyī,"thứ nhất, đầu tiên",他是第一名。,Anh ấy là người đứng thứ nhất.,tā shì dìyī míng.
次,cì,lần,我去过北京一次。,Tôi đã đi Bắc Kinh một lần.,wǒ qù guò Běijīng yī cì.
件,jiàn,"chiếc, cái (lượng từ)",这件衣服很漂亮。,Cái áo này rất đẹp.,zhè jiàn yīfu hěn piàoliang.
别,bié,đừng,别说话。,Đừng nói chuyện.,bié shuōhuà.
非常,fēicháng,rất,我非常喜欢他。,Tôi rất thích anh ấy.,wǒ fēicháng xǐhuān tā.
也,yě,cũng,我也喜欢看电影。,Tôi cũng thích xem phim.,wǒ yě xǐhuān kàn diànyǐng.
还,hái,"vẫn, còn",他还在睡觉。,Anh ấy vẫn đang ngủ.,tā hái zài shuìjiào.
最,zuì,nhất,她是班里最聪明的学生。,Cô ấy là học sinh thông minh nhất lớp.,tā shì bān lǐ zuì cōngmíng de xuéshēng.
真,zhēn,"thật, thật sự",这本书真好看！,Cuốn sách này thật sự hay!,zhè běn shū zhēn hǎokàn!
正在,zhèngzài,đang,我正在吃饭。,Tôi đang ăn cơm.,wǒ zhèngzài chīfàn.
已经,yǐjīng,đã,他已经走了。,Anh ấy đã đi rồi.,tā yǐjīng zǒu le.
一起,yìqǐ,cùng nhau,我们一起去吧。,Chúng ta cùng đi nhé.,wǒmen yìqǐ qù ba.
再,zài,"lại, nữa",再来一杯咖啡。,Lại một cốc cà phê nữa.,zài lái yī bēi kāfēi.
就,jiǜ,"liền, ngay lập tức",我一到家就给你打电话。,Tôi vừa về đến nhà liền gọi điện cho bạn.,wǒ yī dào jiā jiù gěi nǐ dǎ diànhuà.
