"Tiếng Trung";"Phiên âm";Từ loại;"Tiếng Việt";Ví dụ;Chú thích;Dịch
阿姨;āyí;Danh từ;Dì;"阿姨，现在我明白那是下流的
，可是我本来没打算干那种事
。";"Āyí, xiànzài wǒ míngbái nà shì xiàliú de, kěshì wǒ běnlái méi dǎsuàn gàn
nà zhǒng shì.";Dì à, giờ thì cháu hiểu rằng điều đó thật khó chịu, nhưng cháu vốn dĩ không định làm chuyện đó.
啊;a;"Từ cảm
thán";A;他真是个忸忸怩怩的人啊！;Tā zhēnshi gè niǔ niǔní ní de rén a!;Anh ấy thực sự là một kẻ ngốc a !
矮;ǎi;Tính từ;Thấp, lùn;你那匹矮种马养在哪儿？;Nǐ nà pǐ ǎi zhǒng mǎ yǎng zài nǎ’er?;Cai lô ngựa chân ngắn này  của bạn nuôi ở đâu?
爱好;àihào;Danh từ;Sở thích;你有什么爱好？;Nǐ yǒu shénme àihào?;Bạn có sở thích gì?
安静;ānjìng;Tính từ;Yên tĩnh;我要安安静静地离开人间。;Wǒ yào ān ānjìng jìng de líkāi rénjiān.;Tôi muốn lặng lẽ rời khỏi chốn trần gian này
;;;Im lặng;;;
;;;Lặng lẽ;;;
把;bǎ;Động từ;Làm;他把小费放在盘子下面了。;Tā bǎ xiǎofèi fàng zài pánzi xiàmiànle.;Tôi bỏ phí tip đặt dưới đĩa nhé.
;bà;Lương từ;Cầm nắm;;;
班;bān;Lượng từ;Lớp;我得了流感，不能去上班。;Wǒ déle liúgǎn, bùnéng qù shàngbān.;Tôi bị cúm và không thể đi làm.
;;Danh từ;Chuyến;;;
;;;Đi làm;;;
搬;bān;Động từ;"Di
chuyển";你是自己搬的这些家具吗？;Nǐ shì zìjǐ bān de zhèxiē jiājù ma?;Bạn tự mình chuyển hết chỗ đồ này ư?
半;bàn;"Từ chỉ
thời gian";Nửa;走到半路，天色暗了下来。;Zǒu dào bànlù, tiānsè ànle xiàlái.;Đi được nửa đường, trời tối sầm lại.
;;;Bán;;;
办法;bànfǎ;Danh từ;"Phương
pháp";他的心里乱得不得了，怎么也找不到解决这件事的办法。;Tā de xīnlǐ luàn dé bùdéliǎo, zěnme yě zhǎo bù dào jiějué zhè jiàn shì de bànfǎ.;Lòng anh rối bời không tìm ra giải pháp cho chuyện này.
;;;"Cách giải
quyết";;;
办公室;;Danh từ;"Phòng
làm việc";"他急匆匆地走进办公室，又匆
匆离去了。";"Tā jícōngcōng de zǒu jìn bàngōngshì,
yòu cōngcōng lí qùle.";Anh vội vã bước vào văn phòng rồi vội vã rời đi.
;shì;;;;;
