word,pinyin,meaning,example,example-pinyin,example-meaning
爱,ài,yêu; tình yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
爱好,ài hào,sở thích,你有什么爱好？,Nǐ yǒu shénme àihào?,Bạn có sở thích gì?
八,bā,tám,我有八本书。,Wǒ yǒu bā běn shū.,Tôi có tám quyển sách.
爸爸,bàba,bố,爸爸在家。,Bàba zài jiā.,Bố ở nhà.
吧,ba,(trợ từ cảm thán),我们走吧！,Wǒmen zǒu ba!,Chúng ta đi thôi!
白,bái,trắng,她穿白衣服。,Tā chuān bái yīfu.,Cô ấy mặc áo trắng.
白天,bái tiān,ban ngày,白天我工作。,Báitiān wǒ gōngzuò.,Ban ngày tôi làm việc.
百,bǎi,trăm,这本书一百块。,Zhè běn shū yìbǎi kuài.,Quyển sách này một trăm đồng.
班,bān,lớp,我们班有二十人。,Wǒmen bān yǒu èrshí rén.,Lớp chúng tôi có 20 người.
半,bàn,một nửa,现在八点半。,Xiànzài bā diǎn bàn.,Bây giờ là 8 giờ rưỡi.
半年,bàn nián,nửa năm,我学了半年汉语。,Wǒ xuéle bànnián Hànyǔ.,Tôi đã học tiếng Trung nửa năm.
半天,bàn tiān,nửa ngày,我等了半天。,Wǒ děngle bàntiān.,Tôi đã đợi nửa ngày.
帮,bāng,giúp,请帮我。,Qǐng bāng wǒ.,Xin hãy giúp tôi.
帮忙,bāng máng,giúp đỡ,谢谢你帮忙！,Xièxie nǐ bāngmáng!,Cảm ơn bạn đã giúp đỡ!
包,bāo,gói; bao,这个包很好看。,Zhège bāo hěn hǎokàn.,Cái túi này rất đẹp.
包子,bāo zi,bánh bao,我想吃包子。,Wǒ xiǎng chī bāozi.,Tôi muốn ăn bánh bao.
杯,bēi,cốc,一杯水。,Yì bēi shuǐ.,Một cốc nước.
杯子,bēi zi,cái cốc,杯子在桌子上。,Bēizi zài zhuōzi shàng.,Cái cốc ở trên bàn.
北,běi,bắc,北边很冷。,Běibiān hěn lěng.,Phía bắc rất lạnh.
北边,běi biān,phía Bắc,学校在北边。,Xuéxiào zài běibiān.,Trường học ở phía bắc.
北京,běi jīng,Bắc Kinh,我去过北京。,Wǒ qùguo Běijīng.,Tôi đã đến Bắc Kinh.
